Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,STD_datetime,ATD_datetime,STA_datetime,ATA_datetime
,2025-07-25,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXU),0 days 01:54:00,06:00:00,06:20:00,08:10:00,08:14:00,2025-07-25 06:00:00,2025-07-25 06:20:00,2025-07-25 08:10:00,2025-07-25 08:14:00
,2025-07-24,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTJ),0 days 01:54:00,06:00:00,06:07:00,08:10:00,08:01:00,2025-07-24 06:00:00,2025-07-24 06:07:00,2025-07-24 08:10:00,2025-07-24 08:01:00
,2025-07-23,Mumbai (BOM),Chandigarh (IXC),A20N (VT-TQB),0 days 02:04:00,06:00:00,06:20:00,08:10:00,08:23:00,2025-07-23 06:00:00,2025-07-23 06:20:00,2025-07-23 08:10:00,2025-07-23 08:23:00
,2025-07-22,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTU),0 days 01:50:00,06:00:00,07:30:00,08:10:00,09:20:00,2025-07-22 06:00:00,2025-07-22 07:30:00,2025-07-22 08:10:00,2025-07-22 09:20:00
,2025-07-21,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXK),0 days 01:50:00,06:00:00,06:11:00,08:10:00,08:01:00,2025-07-21 06:00:00,2025-07-21 06:11:00,2025-07-21 08:10:00,2025-07-21 08:01:00
,2025-07-20,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXM),0 days 01:48:00,05:30:00,05:50:00,07:40:00,07:39:00,2025-07-20 05:30:00,2025-07-20 05:50:00,2025-07-20 07:40:00,2025-07-20 07:39:00
,2025-07-19,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXL),0 days 01:54:00,06:00:00,06:15:00,08:10:00,08:09:00,2025-07-19 06:00:00,2025-07-19 06:15:00,2025-07-19 08:10:00,2025-07-19 08:09:00
,2025-07-25,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQW),0 days 01:09:00,06:00:00,06:17:00,07:25:00,07:26:00,2025-07-25 06:00:00,2025-07-25 06:17:00,2025-07-25 07:25:00,2025-07-25 07:26:00
,2025-07-24,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQH),0 days 01:08:00,06:00:00,06:18:00,07:25:00,07:27:00,2025-07-24 06:00:00,2025-07-24 06:18:00,2025-07-24 07:25:00,2025-07-24 07:27:00
,2025-07-23,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),0 days 01:05:00,06:00:00,06:26:00,07:25:00,07:31:00,2025-07-23 06:00:00,2025-07-23 06:26:00,2025-07-23 07:25:00,2025-07-23 07:31:00
,2025-07-22,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQF),0 days 01:06:00,06:00:00,06:39:00,07:25:00,07:45:00,2025-07-22 06:00:00,2025-07-22 06:39:00,2025-07-22 07:25:00,2025-07-22 07:45:00
,2025-07-21,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TNU),0 days 01:07:00,06:00:00,06:22:00,07:25:00,07:29:00,2025-07-21 06:00:00,2025-07-21 06:22:00,2025-07-21 07:25:00,2025-07-21 07:29:00
,2025-07-20,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),0 days 01:11:00,06:00:00,06:11:00,07:25:00,07:23:00,2025-07-20 06:00:00,2025-07-20 06:11:00,2025-07-20 07:25:00,2025-07-20 07:23:00
,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQB),0 days 01:13:00,06:00:00,06:20:00,07:25:00,07:33:00,2025-07-19 06:00:00,2025-07-19 06:20:00,2025-07-19 07:25:00,2025-07-19 07:33:00
,2025-07-25,Mumbai (BOM),Delhi (DEL),A21N (VT-NCB),0 days 01:42:00,06:00:00,06:08:00,07:55:00,07:49:00,2025-07-25 06:00:00,2025-07-25 06:08:00,2025-07-25 07:55:00,2025-07-25 07:49:00
,2025-07-24,Mumbai (BOM),Delhi (DEL),A21N (VT-IWQ),0 days 01:47:00,06:00:00,06:15:00,07:55:00,08:02:00,2025-07-24 06:00:00,2025-07-24 06:15:00,2025-07-24 07:55:00,2025-07-24 08:02:00
,2025-07-23,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),0 days 01:52:00,06:00:00,06:22:00,07:55:00,08:14:00,2025-07-23 06:00:00,2025-07-23 06:22:00,2025-07-23 07:55:00,2025-07-23 08:14:00
